Country,ISO3_Code,Region,Income_Group,Year,Crop,Area_Harvested_Ha,Production_Tonnes,Yield_Kg_Ha,Fertilizer_Use_Kg_Ha,Irrigation_Pct,Notes,_source_file,_source_name,_extracted_at,_row_num,_cleaned_at
Vietnam,VNM,Southeast Asia,Lower middle income,2008,Rice,4151761.0,,5938.69,70.61,16.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,11,2026-01-14T09:30:23.746169
Ethiopia,ETH,Sub-Saharan Africa,Low income,1991,Rice,742105.0,,3328.13,12.72,12.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,12,2026-01-14T09:30:23.746169
Brazil,BRA,South America,Upper middle income,1995,Wheat,607201.0,2908165.91,4789.46,103.33,27.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,13,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,1994,Soybeans,4878164.0,10923562.98,,47.75,24.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,14,2026-01-14T09:30:23.746169
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2016,Wheat,200578.0,882142.37,4398.0,74.47,27.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,15,2026-01-14T09:30:23.746169
Russia,RUS,Europe,Upper middle income,1995,Soybeans,3467016.0,12307847.44,3549.98,68.69,47.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,16,2026-01-14T09:30:23.746169
Canada,CAN,North America,High income,1999,Soybeans,4252889.0,19957725.03,,191.94,56.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,17,2026-01-14T09:30:23.746169
Bangladesh,BGD,South Asia,Lower middle income,1993,Maize,1323069.0,5038826.73,3808.44,61.65,27.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,18,2026-01-14T09:30:23.746169
Canada,CAN,North America,High income,1999,Maize,4453282.0,38278556.25,8595.58,148.97,44.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,19,2026-01-14T09:30:23.746169
Japan,JPN,East Asia,High income,2010,Wheat,503514.0,3139866.99,6235.91,163.47,31.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,20,2026-01-14T09:30:23.746169
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2001,Rice,1004930.0,,4738.86,98.53,17.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,21,2026-01-14T09:30:23.746169
Vietnam,VNM,Southeast Asia,Lower middle income,2002,Soybeans,4875886.0,,3289.9,63.23,21.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,22,2026-01-14T09:30:23.746169
Canada,CAN,North America,High income,2011,Wheat,311193.0,1848324.94,5939.48,147.04,71.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,23,2026-01-14T09:30:23.746169
Canada,CAN,North America,High income,2007,Rice,4321602.0,34575915.57,8000.72,150.78,23.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,24,2026-01-14T09:30:23.746169
Malawi,MWI,Sub-Saharan Africa,Low income,2001,Wheat,193946.0,576115.0,2970.49,22.56,9.0,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,25,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,1996,Wheat,2372101.0,9187274.48,3873.05,89.44,27.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,26,2026-01-14T09:30:23.746169
Mali,MLI,Sub-Saharan Africa,Low income,1997,Rice,197945.0,818576.98,4135.38,12.55,6.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,27,2026-01-14T09:30:23.746169
Egypt,EGY,North Africa,Lower middle income,1995,Maize,1698371.0,8730479.09,5140.5,68.96,4.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,28,2026-01-14T09:30:23.746169
Mexico,MEX,Central America,Upper middle income,1992,Wheat,3068600.0,10897305.65,3551.23,124.95,14.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,29,2026-01-14T09:30:23.746169
Vietnam,VNM,Southeast Asia,Lower middle income,1998,Rice,1983236.0,9217195.46,4647.55,62.96,27.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,30,2026-01-14T09:30:23.746169
Russia,RUS,Europe,Upper middle income,2011,Soybeans,2863074.0,7980215.55,2787.29,,37.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,31,2026-01-14T09:30:23.746169
South Korea,KOR,East Asia,High income,2000,Soybeans,680631.0,3188246.07,4684.25,,24.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,32,2026-01-14T09:30:23.746169
Egypt,EGY,North Africa,Lower middle income,1999,Wheat,5084503.0,14875335.12,2925.62,75.04,29.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,33,2026-01-14T09:30:23.746169
Germany,DEU,Europe,High income,1997,Soybeans,1826016.0,3325880.65,1821.39,218.3,54.9,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,34,2026-01-14T09:30:23.746169
Turkey,TUR,Middle East,Upper middle income,2012,Rice,2659546.0,20610605.8,7749.67,142.11,28.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,35,2026-01-14T09:30:23.746169
Argentina,ARG,South America,Upper middle income,2006,Soybeans,1009740.0,4733374.2,4687.72,87.77,42.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,36,2026-01-14T09:30:23.746169
Tanzania,TZA,Sub-Saharan Africa,Low income,1990,Soybeans,59095.0,86924.64,1470.93,15.98,8.9,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,37,2026-01-14T09:30:23.746169
Brazil,BRA,South America,Upper middle income,2004,Maize,2845076.0,24576394.19,8638.22,146.08,25.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,38,2026-01-14T09:30:23.746169
India,IND,South Asia,Lower middle income,2021,Rice,4362406.0,30497138.8,6990.9,57.79,21.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,39,2026-01-14T09:30:23.746169
Morocco,MAR,North Africa,Lower middle income,2000,Maize,4259243.0,24670155.28,5792.15,68.1,25.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,40,2026-01-14T09:30:23.746169
Pakistan,PAK,South Asia,Lower middle income,1993,Maize,2502170.0,11481105.76,4588.46,66.26,25.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,41,2026-01-14T09:30:23.746169
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2007,Rice,1618837.0,9666947.43,5971.54,142.83,26.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,42,2026-01-14T09:30:23.746169
Pakistan,PAK,South Asia,Lower middle income,2008,Rice,4776431.0,22237145.27,4655.6,73.53,37.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,43,2026-01-14T09:30:23.746169
Ukraine,UKR,Europe,Lower middle income,1994,Wheat,1260473.0,3235306.48,2566.74,55.03,24.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,44,2026-01-14T09:30:23.746169
Mali,MLI,Sub-Saharan Africa,Low income,2010,Wheat,1361899.0,4857823.61,3566.95,18.73,10.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,45,2026-01-14T09:30:23.746169
Ethiopia,ETH,Sub-Saharan Africa,Low income,2011,Maize,2215984.0,12219031.0,5514.04,22.52,3.2,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,46,2026-01-14T09:30:23.746169
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2021,Wheat,1086889.0,6054085.19,5570.1,84.54,23.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,47,2026-01-14T09:30:23.746169
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2020,Wheat,2933314.0,18489744.51,6303.36,133.06,31.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,48,2026-01-14T09:30:23.746169
Ukraine,UKR,Europe,Lower middle income,2009,Soybeans,1211863.0,4365543.83,3602.34,73.12,30.0,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,49,2026-01-14T09:30:23.746169
Ukraine,UKR,Europe,Lower middle income,2014,Soybeans,508811.0,1634933.44,3213.24,78.85,20.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,50,2026-01-14T09:30:23.746169
India,IND,South Asia,Lower middle income,2017,Wheat,4364728.0,23729759.41,5436.71,89.65,32.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,51,2026-01-14T09:30:23.746169
Uganda,UGA,Sub-Saharan Africa,Low income,2022,Maize,1604700.0,11906519.13,7419.78,31.67,8.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,52,2026-01-14T09:30:23.746169
Germany,DEU,Europe,High income,2007,Wheat,4288969.0,28249599.27,6586.57,131.27,32.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,53,2026-01-14T09:30:23.746169
Argentina,ARG,South America,Upper middle income,2007,Rice,4492259.0,25339026.5,5640.6,147.95,28.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,54,2026-01-14T09:30:23.746169
Bangladesh,BGD,South Asia,Lower middle income,2003,Soybeans,4676666.0,14590570.52,3119.87,80.59,28.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,55,2026-01-14T09:30:23.746169
France,FRA,Europe,High income,2009,Maize,1956493.0,22316852.83,11406.56,170.52,35.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,56,2026-01-14T09:30:23.746169
Kenya,KEN,Sub-Saharan Africa,Low income,2015,Maize,1643058.0,10209058.1,6213.45,24.09,12.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,57,2026-01-14T09:30:23.746169
Brazil,BRA,South America,Upper middle income,2019,Soybeans,4557607.0,,4043.37,135.2,41.3,Estimated value,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,58,2026-01-14T09:30:23.746169
Brazil,BRA,South America,Upper middle income,2003,Wheat,785675.0,3679075.51,4682.69,146.25,23.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,59,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,2013,Rice,2926149.0,,6920.87,99.04,36.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,60,2026-01-14T09:30:23.746169
Mexico,MEX,Central America,Upper middle income,2020,Soybeans,2065176.0,8492829.24,4112.4,138.87,43.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,61,2026-01-14T09:30:23.746169
Japan,JPN,East Asia,High income,2000,Rice,3170150.0,25300187.81,7980.75,181.04,21.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,62,2026-01-14T09:30:23.746169
Kenya,KEN,Sub-Saharan Africa,Low income,2016,Wheat,1734348.0,5118834.9,2951.45,32.8,11.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,63,2026-01-14T09:30:23.746169
Russia,RUS,Europe,Upper middle income,2006,Maize,4721227.0,47004518.0,9956.0,107.0,41.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,64,2026-01-14T09:30:23.746169
Indonesia,IDN,Southeast Asia,Lower middle income,2007,Soybeans,351749.0,1449414.89,4120.59,77.37,26.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,65,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,2021,Wheat,2204154.0,11890204.49,5394.45,140.18,22.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,66,2026-01-14T09:30:23.746169
Mexico,MEX,Central America,Upper middle income,2014,Rice,1812270.0,11063779.91,6104.93,127.39,30.2,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,67,2026-01-14T09:30:23.746169
Egypt,EGY,North Africa,Lower middle income,1995,Wheat,494690.0,1828412.18,3696.08,53.51,16.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,68,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,2020,Maize,3754490.0,38248346.29,10187.36,120.88,10.0,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,69,2026-01-14T09:30:23.746169
Myanmar,MMR,Southeast Asia,Low income,1990,Rice,2259711.0,7649296.73,3385.08,22.78,3.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,70,2026-01-14T09:30:23.746169
Argentina,ARG,South America,Upper middle income,2010,Soybeans,1294020.0,3189461.66,2464.77,134.73,33.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,71,2026-01-14T09:30:23.746169
Germany,DEU,Europe,High income,2019,Wheat,5146086.0,51767405.43,10059.57,216.98,37.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,72,2026-01-14T09:30:23.746169
France,FRA,Europe,High income,1991,Wheat,2322478.0,11998957.5,5166.45,,18.9,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,73,2026-01-14T09:30:23.746169
India,IND,South Asia,Lower middle income,2005,Soybeans,2615791.0,5231604.57,2000.01,56.73,23.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,74,2026-01-14T09:30:23.746169
Ethiopia,ETH,Sub-Saharan Africa,Low income,1996,Maize,2576771.0,9808932.47,3806.68,23.97,13.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,75,2026-01-14T09:30:23.746169
Mali,MLI,Sub-Saharan Africa,Low income,1994,Wheat,260008.0,558453.33,2147.83,20.8,15.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,76,2026-01-14T09:30:23.746169
Canada,CAN,North America,High income,2016,Wheat,5210491.0,35796517.85,6870.09,275.9,35.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,77,2026-01-14T09:30:23.746169
Myanmar,MMR,Southeast Asia,Low income,2006,Rice,999601.0,4211489.21,4213.17,29.61,13.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,78,2026-01-14T09:30:23.746169
Mali,MLI,Sub-Saharan Africa,Low income,1990,Maize,319454.0,1331641.54,,22.37,11.9,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,79,2026-01-14T09:30:23.746169
South Korea,KOR,East Asia,High income,1994,Maize,3420137.0,34635185.95,10126.84,156.59,25.9,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,80,2026-01-14T09:30:23.746169
Canada,CAN,North America,High income,2005,Wheat,260668.0,1482907.89,5688.88,,58.0,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,81,2026-01-14T09:30:23.746169
Pakistan,PAK,South Asia,Lower middle income,2000,Wheat,4645512.0,,3889.35,71.55,34.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,82,2026-01-14T09:30:23.746169
Uganda,UGA,Sub-Saharan Africa,Low income,1991,Maize,1780552.0,7136218.99,4007.87,15.73,13.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,83,2026-01-14T09:30:23.746169
Mexico,MEX,Central America,Upper middle income,1995,Soybeans,529538.0,1564102.16,2953.71,86.61,22.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,84,2026-01-14T09:30:23.746169
Germany,DEU,Europe,High income,1993,Wheat,1360550.0,7008508.81,5151.23,170.6,47.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,85,2026-01-14T09:30:23.746169
Canada,CAN,North America,High income,1998,Wheat,5121790.0,30141145.0,5884.88,114.09,53.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,86,2026-01-14T09:30:23.746169
Japan,JPN,East Asia,High income,2003,Maize,864961.0,7459438.39,8624.02,128.75,35.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,87,2026-01-14T09:30:23.746169
United Kingdom,GBR,Europe,High income,2016,Wheat,2459504.0,16278218.9,6618.5,235.53,60.2,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,88,2026-01-14T09:30:23.746169
United Kingdom,GBR,Europe,High income,1992,Soybeans,1057883.0,4413093.31,4171.63,178.05,58.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,89,2026-01-14T09:30:23.746169
Japan,JPN,East Asia,High income,1992,Maize,760203.0,3362567.05,4423.25,134.43,45.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,90,2026-01-14T09:30:23.746169
Russian Federation,RUS,Europe,Upper middle income,2001,Maize,539288.0,6080494.33,11275.04,102.42,10.2,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,91,2026-01-14T09:30:23.746169
United States,USA,North America,High income,2010,Soybeans,5316344.0,26582370.18,5000.12,237.1,25.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,92,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,2004,Soybeans,3237054.0,10506811.96,3245.79,107.22,27.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,93,2026-01-14T09:30:23.746169
Myanmar,MMR,Southeast Asia,Low income,2011,Wheat,1449628.0,5943750.38,4100.19,27.37,11.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,94,2026-01-14T09:30:23.746169
Mexico,MEX,Central America,Upper middle income,2011,Soybeans,3309928.0,16813739.85,5079.79,133.24,29.2,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,95,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,2015,Maize,3462171.0,20981218.81,6060.13,73.41,27.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,96,2026-01-14T09:30:23.746169
USA,USA,North America,High income,1999,Maize,4083787.0,29221871.49,7155.58,133.43,58.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,97,2026-01-14T09:30:23.746169
Kenya,KEN,Sub-Saharan Africa,Low income,1997,Rice,1460064.0,5885178.91,4030.77,25.02,11.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,98,2026-01-14T09:30:23.746169
South Korea,KOR,East Asia,High income,1998,Rice,711057.0,4783000.92,,203.46,13.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,99,2026-01-14T09:30:23.746169
United Kingdom,GBR,Europe,High income,1993,Soybeans,4813213.0,21223375.46,4409.4,147.41,39.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,100,2026-01-14T09:30:23.746169
Egypt,EGY,North Africa,Lower middle income,2001,Wheat,277128.0,1171945.98,4228.9,41.11,17.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,101,2026-01-14T09:30:23.746169
Mexico,MEX,Central America,Upper middle income,1994,Rice,2413939.0,11858465.93,4912.5,88.6,37.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,102,2026-01-14T09:30:23.746169
Myanmar,MMR,Southeast Asia,Low income,1992,Soybeans,1690800.0,2573405.21,1522.0,15.75,8.0,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,103,2026-01-14T09:30:23.746169
Myanmar,MMR,Southeast Asia,Low income,2022,Wheat,228351.0,826618.83,3619.95,29.09,6.9,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,104,2026-01-14T09:30:23.746169
Philippines,PHL,Southeast Asia,Lower middle income,2020,Maize,4780547.0,39577401.5,8278.84,97.7,24.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,105,2026-01-14T09:30:23.746169
Kenya,KEN,Sub-Saharan Africa,Low income,2002,Rice,2668385.0,11138518.11,4174.25,22.05,10.7,Estimated value,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,106,2026-01-14T09:30:23.746169
Thailand,THA,Southeast Asia,Upper middle income,2014,Wheat,288223.0,1865226.8,6471.47,159.62,23.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,107,2026-01-14T09:30:23.746169
Malawi,MWI,Sub-Saharan Africa,Low income,2006,Rice,555877.0,,4542.54,27.0,12.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,108,2026-01-14T09:30:23.746169
Australia,AUS,Oceania,High income,1991,Soybeans,2311892.0,6394140.19,,149.01,53.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,109,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,2001,Rice,3747099.0,22175358.4,5918.01,136.44,23.0,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,110,2026-01-14T09:30:23.746169
Australia,AUS,Oceania,High income,2011,Soybeans,3138323.0,12530749.43,,225.54,41.7,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,111,2026-01-14T09:30:23.746169
Vietnam,VNM,Southeast Asia,Lower middle income,2009,Soybeans,3104373.0,8020084.76,2583.48,67.87,10.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,112,2026-01-14T09:30:23.746169
United Kingdom,GBR,Europe,High income,2015,Maize,1810518.0,29084348.85,16064.1,147.79,57.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,113,2026-01-14T09:30:23.746169
Bangladesh,BGD,South Asia,Lower middle income,2002,Rice,2876358.0,13493900.17,4691.31,55.8,25.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,114,2026-01-14T09:30:23.746169
China,CHN,East Asia,Upper middle income,2008,Rice,4040394.0,20693827.7,5121.74,117.87,40.6,Estimated value,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,115,2026-01-14T09:30:23.746169
Japan,JPN,East Asia,High income,2022,Wheat,2792500.0,23882278.04,8552.29,174.49,38.0,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,116,2026-01-14T09:30:23.746169
Kenya,KEN,Sub-Saharan Africa,Low income,2019,Maize,1155513.0,8188348.91,7086.33,28.75,14.2,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,117,2026-01-14T09:30:23.746169
United States,USA,North America,High income,2014,Soybeans,1592700.0,7024295.03,4410.31,201.36,33.2,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,118,2026-01-14T09:30:23.746169
Russia,RUS,Europe,Upper middle income,2003,Maize,551046.0,4965318.45,9010.71,85.67,30.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,119,2026-01-14T09:30:23.746169
Thailand,THA,Southeast Asia,Upper middle income,1997,Maize,3893406.0,34084670.79,8754.46,113.24,30.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,120,2026-01-14T09:30:23.746169
Malawi,MWI,Sub-Saharan Africa,Low income,1998,Rice,2113239.0,8718212.75,,20.05,4.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,121,2026-01-14T09:30:23.746169
Australia,AUS,Oceania,High income,2006,Rice,5012104.0,37555821.79,7493.03,139.81,37.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,122,2026-01-14T09:30:23.746169
Philippines,PHL,Southeast Asia,Lower middle income,1993,Rice,4537342.0,17843352.08,3932.56,54.73,31.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,123,2026-01-14T09:30:23.746169
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1997,Wheat,3174911.0,15994369.47,5037.74,110.78,34.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,124,2026-01-14T09:30:23.746169
Mali,MLI,Sub-Saharan Africa,Low income,2021,Wheat,3074298.0,11847392.79,3853.69,24.59,11.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,125,2026-01-14T09:30:23.746169
Pakistan,PAK,South Asia,Lower middle income,2014,Maize,2906045.0,23607961.57,,72.31,22.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,126,2026-01-14T09:30:23.746169
